year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasbling,allamerican,hasawards,drafted
2002,antwan lake,West Virginia,DE,76.1,286,5.08,27,,,,,0,0,0,N
2002,derrius monroe,Virginia Tech,DE,75.8,269,4.59,25,31.5,99,4.51,7.38,0,0,0,Y
2002,brandon moore,Illinois,DT,75,293,5.26,32,25.5,96,4.64,7.84,0,0,0,N
2002,will overstreet,Tennessee,DE,74.9,259,4.62,21,32.5,114,4.31,7.37,0,0,0,Y
2002,anton palepoi,Nevada Las Vegas,DE,75.3,279,4.82,24,33.5,113,4.27,7.46,0,0,0,Y
2002,monsanto pope,Virginia,DT,75.5,295,5.26,,,,,,0,0,0,Y
2002,greg scott,Hampton (VA),DE,75.6,268,4.92,26,32.5,110,4.61,7.5,0,0,0,N
2002,josh shaw,Michigan State,DT,74.6,279,5.08,22,37.5,130,4.12,7.01,0,0,0,Y
2002,ryan sims,North Carolina,DT,76.1,311,5.09,27,,,,,0,0,0,Y
2002,john stamper,South Carolina,DE,76.1,265,4.97,24,36.5,110,4.22,7.35,0,0,0,Y
2002,connor stephens,Mississippi State,DE,76.4,256,4.93,20,36.5,119,4.55,7.5,0,0,0,N
