year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,allamerican,hasawards,hasbling,scrimyds,scrimplays,scrimypa,scrimtds,drafted
2008,craig stevens,California,TE,75.25,254,4.67,27,27.5,114,4.31,7.07,0,0,0,669,51,13.1,7,Y
2008,darrell strong,Pittsburgh,TE,76,268,4.81,17,25,110,4.36,6.86,0,0,0,774,66,11.7,7,N
2008,jacob tamme,Kentucky,TE,75.5,236,4.61,18,30,109,4.27,6.99,0,0,0,1417,133,10.7,11,Y
2009,travis beckum,Wisconsin,TE,75,239,4.62,28,,,,,0,0,0,2174,167,13,11,Y
2009,jared bronson,Central Washington,TE,75.88,253,4.7,,32.5,116,4.33,7.15,0,0,0,,,,,N
2009,jared cook,South Carolina,TE,77,246,4.49,23,41,123,,,0,0,0,1107,73,15.2,7,Y
2009,davon drew,East Carolina (NC),TE,75.75,256,4.78,17,29.5,113,4.56,7.28,0,0,0,1078,78,13.8,8,Y
2009,dan gronkowski,Maryland,TE,77.5,255,4.79,26,33,122,4.26,6.92,0,0,0,401,40,10,4,Y
2009,anthony hill,North Carolina State,TE,77,262,4.84,21,30.5,107,4.56,7.31,0,0,0,852,79,10.8,5,Y
2009,cornelius ingram,Florida,TE,75.88,245,4.68,21,33,,4.53,7.12,0,0,0,896,66,13.6,8,Y
2009,cameron morrah,California,TE,75.38,244,4.65,24,32.5,115,4.36,6.99,0,0,0,484,41,11.8,10,Y
2009,shawn nelson,Southern Mississippi,TE,77,240,4.52,19,33,115,4.46,6.96,0,0,0,2054,157,13.1,16,Y
2009,bear pascoe,Frenso State (CA),TE,77.13,251,4.96,,26.5,107,4.55,7.65,0,0,0,1294,112,11.6,10,Y
2009,brandon pettigrew,Oklahoma State,TE,77.38,263,4.8,22,33,118,4.37,7.12,0,0,0,1450,112,12.9,9,Y
2009,john phillips,Virginia,TE,77.38,251,4.78,20,33.5,112,4.27,6.84,0,0,0,670,70,9.6,5,Y
2009,richard quinn,North Carolina,TE,75.88,264,4.88,24,32.5,119,4.62,7.5,0,0,0,124,12,10.3,2,Y
2009,kory sperry,Colorado State,TE,77,238,4.7,20,33.5,122,4.25,7,0,0,0,1769,142,12.5,21,N
2010,nate byham,Pittsburgh,TE,75.88,268,4.97,,29,109,,,0,0,0,612,47,13,3,Y
2010,dorin dickerson,Pittsburgh,TE,73.38,226,4.4,24,43.5,125,4.3,6.96,0,0,0,758,68,11.1,13,Y
